% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 46.87    0.927498         456      2031        67 futex
 26.17    0.517826      129456         4           wait4
 13.23    0.261877      261877         1           restart_syscall
  1.90    0.037551         408        92           madvise
  1.54    0.030450          54       556           close
  1.27    0.025052          28       868         2 read
  1.26    0.024979         244       102           munmap
  1.08    0.021398          16      1264      1253 readlink
  1.04    0.020602          21       979       162 statx
  1.00    0.019809          54       365           mmap
  0.87    0.017219          21       784       250 openat
  0.69    0.013697          37       369           mprotect
  0.56    0.011174          51       215           rt_sigprocmask
  0.24    0.004786         132        36           write
  0.24    0.004772          21       219           brk
  0.23    0.004539         151        30           clone3
  0.22    0.004318          63        68           sigaltstack
  0.20    0.003945          24       163       128 access
  0.19    0.003694          18       205       148 newfstatat
  0.17    0.003435          26       128           fstat
  0.11    0.002201         220        10         3 execve
  0.09    0.001862          71        26           gettid
  0.07    0.001328          20        64         3 lseek
  0.06    0.001259          38        33           sched_getaffinity
  0.05    0.001079          20        53           pread64
  0.05    0.001025          26        39           set_robust_list
  0.05    0.000911          24        37           rseq
  0.04    0.000870          11        73           rt_sigaction
  0.04    0.000835         417         2         2 rt_sigreturn
  0.04    0.000832          52        16           getpid
  0.04    0.000806         403         2           clone
  0.04    0.000773          42        18           prctl
  0.04    0.000742          32        23           getdents64
  0.04    0.000725          32        22           getrandom
  0.04    0.000696          49        14         3 unlink
  0.03    0.000535          31        17           getcwd
  0.02    0.000486          20        24        21 ioctl
  0.02    0.000402          25        16        10 mkdir
  0.02    0.000344         114         3           rename
  0.01    0.000213          11        19         8 stat
  0.01    0.000196          98         2           tgkill
  0.01    0.000188          23         8           linkat
  0.01    0.000181          36         5           unlinkat
  0.01    0.000179          89         2           vfork
  0.01    0.000170          85         2           sched_yield
  0.01    0.000146           5        25           flock
  0.01    0.000129          18         7           pipe2
  0.01    0.000104          13         8           poll
  0.01    0.000100           7        14           prlimit64
  0.00    0.000079           2        34           fcntl
  0.00    0.000079          39         2           ftruncate
  0.00    0.000071          17         4           readlinkat
  0.00    0.000065           9         7           arch_prctl
  0.00    0.000061          15         4           uname
  0.00    0.000060           8         7           set_tid_address
  0.00    0.000059           3        15           statfs
  0.00    0.000058          19         3           getuid
  0.00    0.000057          19         3           geteuid
  0.00    0.000055          27         2           socketpair
  0.00    0.000027          13         2           recvfrom
  0.00    0.000026           5         5           lstat
  0.00    0.000013          13         1           epoll_ctl
  0.00    0.000012          12         1           epoll_create1
  0.00    0.000011          11         1           eventfd2
  0.00    0.000000           0         2           open
  0.00    0.000000           0         5           dup2
  0.00    0.000000           0         1           chdir
  0.00    0.000000           0         1           utimensat
------ ----------- ----------- --------- --------- ------------------
100.00    1.978671         215      9163      2060 total
