% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 45.80    2.673531         461      5795       182 futex
 23.79    1.388617      115718        12           wait4
 11.37    0.663578      221192         3           restart_syscall
  6.99    0.407767       18534        22           poll
  2.15    0.125633         113      1104         7 read
  1.76    0.102505         280       365           madvise
  1.24    0.072204          68      1061           mprotect
  0.85    0.049853          12      3896      3876 readlink
  0.75    0.043529          75       573           rt_sigprocmask
  0.72    0.041893         143       292           munmap
  0.70    0.040683          45       898           mmap
  0.51    0.030001         185       162           write
  0.51    0.029791          22      1352       480 openat
  0.34    0.020131          21       923           close
  0.34    0.019945          14      1351       185 statx
  0.33    0.019462         252        77           clone3
  0.27    0.015898          82       192           sigaltstack
  0.24    0.013883          42       327           fstat
  0.14    0.008076          47       169         8 lseek
  0.14    0.007897         168        47           prctl
  0.13    0.007593         345        22         6 execve
  0.11    0.006160          68        90           rseq
  0.10    0.005837          64        90           sched_getaffinity
  0.10    0.005690          83        68           gettid
  0.08    0.004774          17       274           brk
  0.08    0.004750          14       318       254 access
  0.07    0.004309          45        95           set_robust_list
  0.06    0.003309           7       464       338 newfstatat
  0.05    0.002916          42        68           getdents64
  0.05    0.002854         570         5           clone
  0.03    0.001753          43        40           getrandom
  0.02    0.001228           7       165           rt_sigaction
  0.02    0.001217           9       127           pread64
  0.02    0.001135          24        47        10 unlink
  0.02    0.001029          16        62        56 ioctl
  0.02    0.001014         101        10           rename
  0.02    0.000904          29        31        12 mkdir
  0.01    0.000784          20        39           getcwd
  0.01    0.000652          38        17           unlinkat
  0.01    0.000639          22        28           linkat
  0.01    0.000397           6        66           fcntl
  0.01    0.000352          20        17           getpid
  0.00    0.000290           9        32           prlimit64
  0.00    0.000249          11        21        10 stat
  0.00    0.000217          13        16           pipe2
  0.00    0.000199          66         3           tgkill
  0.00    0.000185          46         4           vfork
  0.00    0.000183          22         8           open
  0.00    0.000178          59         3         3 rt_sigreturn
  0.00    0.000175          58         3           sched_yield
  0.00    0.000174          43         4           uname
  0.00    0.000158           5        31           flock
  0.00    0.000103          11         9           readlinkat
  0.00    0.000098          32         3           getuid
  0.00    0.000088          17         5           recvfrom
  0.00    0.000082          16         5           ftruncate
  0.00    0.000062           3        16           arch_prctl
  0.00    0.000062           3        16           set_tid_address
  0.00    0.000059          19         3           geteuid
  0.00    0.000039          13         3           utimensat
  0.00    0.000032           6         5           socketpair
  0.00    0.000025          25         1           epoll_ctl
  0.00    0.000025          25         1           epoll_create1
  0.00    0.000020           3         6           lstat
  0.00    0.000020          20         1           eventfd2
  0.00    0.000018           1        17           statfs
  0.00    0.000000           0        13           dup2
  0.00    0.000000           0         6           chdir
------ ----------- ----------- --------- --------- ------------------
100.00    5.836914         277     20999      5427 total
