% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 67.66    0.012992        3248         4         2 wait4
  5.64    0.001084          13        81           close
  5.60    0.001076          12        85        23 openat
  4.97    0.000954          14        65           read
  4.90    0.000940          12        76           fstat
  3.16    0.000606          18        33           fcntl
  2.36    0.000454          18        24           getdents64
  1.30    0.000250           5        50           mmap
  1.29    0.000247          82         3           execve
  1.06    0.000203           5        35         3 newfstatat
  0.39    0.000075           7        10           brk
  0.29    0.000056           4        13           mprotect
  0.29    0.000055          13         4           munmap
  0.14    0.000026           0        32           rt_sigaction
  0.12    0.000023           4         5           set_robust_list
  0.11    0.000022           3         6           pread64
  0.10    0.000020           6         3           futex
  0.10    0.000020           6         3           getrandom
  0.10    0.000019           4         4           prlimit64
  0.07    0.000014          14         1           fstatfs
  0.07    0.000013           3         4           lseek
  0.07    0.000013          13         1           sigaltstack
  0.06    0.000011           1        10         4 access
  0.05    0.000010           3         3           arch_prctl
  0.05    0.000010           3         3           set_tid_address
  0.05    0.000010           3         3           rseq
  0.00    0.000000           0         2           write
  0.00    0.000000           0        22           rt_sigprocmask
  0.00    0.000000           0         2           rt_sigreturn
  0.00    0.000000           0         6         6 ioctl
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         5           getpid
  0.00    0.000000           0         4           socket
  0.00    0.000000           0         4         4 connect
  0.00    0.000000           0         2           clone
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         7           getuid
  0.00    0.000000           0         7           getgid
  0.00    0.000000           0         7           geteuid
  0.00    0.000000           0         7           getegid
  0.00    0.000000           0         3           getppid
  0.00    0.000000           0         1           getpgrp
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         6         6 lgetxattr
  0.00    0.000000           0         6           listxattr
  0.00    0.000000           0         6           statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.019203          29       662        50 total
