% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 48.57    1.024734         362      2823        56 futex
 31.31    0.660697       82587         8           wait4
 10.38    0.218965      218965         1           restart_syscall
  1.39    0.029384          29       986        12 read
  1.32    0.027835          16      1676      1665 readlink
  0.94    0.019908          51       387           mprotect
  0.78    0.016354          16       967       355 openat
  0.66    0.013949          13      1063       180 statx
  0.58    0.012256          19       638           mmap
  0.56    0.011864          18       659           close
  0.39    0.008323          50       164           munmap
  0.39    0.008250          32       257           rt_sigprocmask
  0.35    0.007334         166        44           clone3
  0.26    0.005532          35       157           madvise
  0.23    0.004800         342        14         3 execve
  0.22    0.004548          19       230           brk
  0.18    0.003764          22       167       132 access
  0.18    0.003720          33       111           sigaltstack
  0.11    0.002352           9       253       187 newfstatat
  0.10    0.002195          13       167           fstat
  0.09    0.001853          34        53           sched_getaffinity
  0.08    0.001642          29        55           set_robust_list
  0.08    0.001640          13       119           rt_sigaction
  0.08    0.001619          31        52           rseq
  0.07    0.001533          37        41           gettid
  0.07    0.001531          26        58           write
  0.07    0.001426          54        26           getrandom
  0.06    0.001309         436         3           clone
  0.05    0.001152          50        23           prctl
  0.05    0.000973          13        72           pread64
  0.05    0.000964          16        57        45 ioctl
  0.04    0.000746          28        26           poll
  0.03    0.000720          27        26           getdents64
  0.03    0.000669          25        26           getcwd
  0.03    0.000535          10        50           fcntl
  0.02    0.000491          12        40           prlimit64
  0.02    0.000461           7        63         7 lseek
  0.02    0.000338          17        19         8 stat
  0.02    0.000320          32        10           open
  0.02    0.000318          31        10         3 unlink
  0.01    0.000288          28        10           unlinkat
  0.01    0.000282          13        21         6 mkdir
  0.01    0.000279          14        19           getpid
  0.01    0.000267         133         2           vfork
  0.01    0.000220          13        16           pipe2
  0.01    0.000195          39         5           tgkill
  0.01    0.000192          38         5         5 rt_sigreturn
  0.01    0.000177           7        24           flock
  0.01    0.000128          25         5           lstat
  0.01    0.000124          24         5           sched_yield
  0.00    0.000102          25         4           rename
  0.00    0.000074           6        11           set_tid_address
  0.00    0.000070          23         3           getuid
  0.00    0.000060           5        11           arch_prctl
  0.00    0.000054          27         2           ftruncate
  0.00    0.000051          12         4           uname
  0.00    0.000050          25         2           linkat
  0.00    0.000045          15         3           recvfrom
  0.00    0.000044          22         2           utimensat
  0.00    0.000037          12         3           geteuid
  0.00    0.000034          11         3           socketpair
  0.00    0.000027           1        15           statfs
  0.00    0.000027           3         8           readlinkat
  0.00    0.000025          25         1           epoll_create1
  0.00    0.000024          24         1           eventfd2
  0.00    0.000022          22         1           epoll_ctl
  0.00    0.000000           0        17           dup2
  0.00    0.000000           0         2           chdir
------ ----------- ----------- --------- --------- ------------------
100.00    2.109902         178     11806      2664 total
