% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.51    0.001368           7       193        27 newfstatat
 11.59    0.000737          10        73           read
 10.77    0.000685          10        66           rt_sigaction
 10.14    0.000645          23        28           getdents64
  9.61    0.000611           6        93           fstat
  6.65    0.000423           7        57           close
  6.35    0.000404           5        70         2 lseek
  6.35    0.000404           6        61         5 openat
  4.31    0.000274           7        39        39 ioctl
  2.74    0.000174          24         7           mprotect
  2.67    0.000170           5        32           mmap
  2.28    0.000145           9        15           brk
  1.89    0.000120           5        21           getcwd
  0.71    0.000045          22         2           getrandom
  0.64    0.000041          10         4           fcntl
  0.50    0.000032          16         2           munmap
  0.33    0.000021          21         1           futex
  0.31    0.000020          20         1           prlimit64
  0.30    0.000019           9         2           gettid
  0.20    0.000013          13         1           write
  0.14    0.000009           9         1           epoll_create1
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 readlink
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.006360           8       783        75 total
