% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 23.22    0.001199          16        72        20 newfstatat
 21.48    0.001109          16        66           rt_sigaction
 10.25    0.000529          29        18           getdents64
  9.76    0.000504          14        35           fstat
  7.13    0.000368          12        29         5 openat
  6.08    0.000314          17        18         2 lseek
  5.54    0.000286          11        24           close
  4.90    0.000253          19        13        13 ioctl
  3.56    0.000184           9        20           read
  2.77    0.000143          14        10           brk
  1.20    0.000062          15         4           fcntl
  0.72    0.000037          37         1           write
  0.64    0.000033          33         1           getuid
  0.56    0.000029          14         2           munmap
  0.54    0.000028           1        27           mmap
  0.48    0.000025          25         1           getegid
  0.43    0.000022          22         1           getcwd
  0.39    0.000020          20         1           getgid
  0.35    0.000018          18         1           geteuid
  0.00    0.000000           0         6           mprotect
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 readlink
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         2           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.005163          14       365        42 total
