group,id,rc,elapsed_s,calls_hint
G1,A1,0,65,1
G1,A2,0,3,1
G1,A3,0,2,1
G1,A4,0,2,1
G1,A5,0,2,1
G1,A6,0,4,1
G1,A7,0,75,1
G1,A8,0,4,1
G1,A9,0,38,1
G1,A10,0,3,1
G1,B1,0,4,1
G1,B2,0,2,1
G1,B3,0,55,1
G1,B4,0,2,1
G1,B5,0,10,1
G2,A1,0,4,
G2,A2,1,127,
G2,A3,1,176,
G2,A4,1,109,
G2,A5,1,120,
G2,A6,0,34,
G2,A7,0,57,
G2,A8,1,94,
G2,A9,1,117,
G2,A10,0,3,
G2,B1,1,277,
G2,B2,1,253,
G2,B3,0,183,
G2,B4,0,35,
G2,B5,0,21,
G3,A1,0,4,
G3,A2,0,36,
G3,A3,0,5,
G3,A4,0,36,
G3,A5,0,40,
G3,A6,0,5,
G3,A7,0,10,
G3,A8,0,156,
G3,A9,0,14,
G3,A10,0,40,
G3,B1,0,49,
G3,B2,0,45,
G3,B3,0,104,
G3,B4,0,4,
G3,B5,0,88,
G4,A1,0,33,calls=1
G4,A2,0,1,calls=1
G4,A3,0,109,calls=4
G4,A4,0,36,calls=2
G4,A5,0,9,calls=4
G4,A6,0,74,calls=4
G4,A7,0,3,calls=1
G4,A8,0,7,calls=4
G4,A9,0,73,calls=4
G4,A10,0,33,calls=1
G4,B1,0,5,calls=2
G4,B2,0,8,calls=3
G4,B3,0,37,calls=2
G4,B4,0,2,calls=1
G4,B5,0,44,calls=4
