group,id,rc,Q1直接回答,Q2说到做到,Q3做不到要交代,Q4信息完整,Q5可复现(3次波动≤10pp),备注
G1,A1,0,,,,,,
G1,A2,0,,,,,,
G1,A3,0,,,,,,
G1,A4,0,,,,,,
G1,A5,0,,,,,,
G1,A6,0,,,,,,
G1,A7,0,,,,,,
G1,A8,0,,,,,,
G1,A9,0,,,,,,
G1,A10,0,,,,,,
G1,B1,0,,,,,,
G1,B2,0,,,,,,
G1,B3,0,,,,,,
G1,B4,0,,,,,,
G1,B5,0,,,,,,
G2,A1,0,,,,,,
G2,A2,1,,,,,,
G2,A3,1,,,,,,
G2,A4,1,,,,,,
G2,A5,1,,,,,,
G2,A6,0,,,,,,
G2,A7,0,,,,,,
G2,A8,1,,,,,,
G2,A9,1,,,,,,
G2,A10,0,,,,,,
G2,B1,1,,,,,,
G2,B2,1,,,,,,
G2,B3,0,,,,,,
G2,B4,0,,,,,,
G2,B5,0,,,,,,
G3,A1,0,,,,,,
G3,A2,0,,,,,,
G3,A3,0,,,,,,
G3,A4,0,,,,,,
G3,A5,0,,,,,,
G3,A6,0,,,,,,
G3,A7,0,,,,,,
G3,A8,0,,,,,,
G3,A9,0,,,,,,
G3,A10,0,,,,,,
G3,B1,0,,,,,,
G3,B2,0,,,,,,
G3,B3,0,,,,,,
G3,B4,0,,,,,,
G3,B5,0,,,,,,
G4,A1,0,,,,,,
G4,A2,0,,,,,,
G4,A3,0,,,,,,
G4,A4,0,,,,,,
G4,A5,0,,,,,,
G4,A6,0,,,,,,
G4,A7,0,,,,,,
G4,A8,0,,,,,,
G4,A9,0,,,,,,
G4,A10,0,,,,,,
G4,B1,0,,,,,,
G4,B2,0,,,,,,
G4,B3,0,,,,,,
G4,B4,0,,,,,,
G4,B5,0,,,,,,
