id,group,exit_code,steps_hint,artifact_count
A1,A,0,,2KB
A2,A,0,,2KB
A3,A,0,,22KB
A4,A,0,,1KB
A5,A,0,,12KB
A6,A,0,,2KB
A7,A,0,,24KB
A8,A,0,,2KB
A9,A,0,,26KB
A10,A,0,,2KB
B1,B,0,,2KB
B2,B,0,,5KB
B3,B,0,,1KB
B4,B,0,,4KB
B5,B,0,,2KB
C-progress,,0,,2KB
C-control-endtest,,0,,1KB
C-l285-curl,,0,,1KB
C-status-brief,,0,,2KB
C-progress-overall,,0,,13KB
C-done-usability,,0,,2KB
C-fix-status,,0,,1KB
C-data-accuracy,,0,,2KB
C-data-instability,,0,,1KB
C-bug-report,,0,,2KB
C-retest-fail,,0,,8KB
C-yes-no-demand,,0,,1KB
C-target-correct,,0,,2KB
C-self-assess,,0,,1KB
